13-5-2026	12:43
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
2000,000            -11,871            -34,423
2003,072            -11,883            -34,339
2006,150            -11,883            -34,333
2009,232            -11,895            -34,310
2012,318            -11,905            -34,290
2015,410            -11,916            -34,276
2018,506            -11,872            -33,567
2021,607            -11,928            -34,230
2024,712            -11,939            -34,233
2027,823            -11,950            -34,211
2030,938            -11,961            -34,193
2034,058            -11,961            -34,191
2037,183            -11,972            -34,167
2040,312            -11,924            -34,840
2043,447            -11,984            -34,144
2046,586            -11,995            -34,128
2049,730            -12,006            -34,106
2052,879            -12,017            -34,086
2056,033            -12,027            -34,071
2059,191            -12,027            -34,068
2062,355            -12,040            -34,047
2065,523            -12,051            -34,027
2068,696            -12,051            -34,023
2071,874            -12,062            -34,003
2075,057            -12,073            -33,981
2078,245            -12,083            -33,965
2081,437            -12,034            -34,102
2084,635            -12,097            -33,940
2087,837            -12,108            -33,916
2091,045            -12,118            -33,882
2094,257            -12,119            -33,920
2097,474            -12,129            -33,879
2100,697            -12,140            -33,853
2103,924            -12,130            -34,025
2107,156            -12,155            -33,827
2110,393            -12,165            -33,821
2113,635            -12,176            -33,792
2116,882            -12,176            -33,787
2120,134            -12,187            -33,767
2123,391            -12,197            -33,746
2126,653            -12,201            -34,410
2129,920            -12,212            -33,721
2133,192            -12,223            -33,695
2136,469            -12,234            -33,674
2139,751            -12,234            -33,675
2143,039            -12,244            -33,657
2146,331            -12,255            -33,637
2149,628            -12,252            -33,457
2152,930            -12,271            -33,602
2156,238            -12,282            -33,582
2159,550            -12,292            -33,562
2162,868            -12,292            -33,561
2166,191            -12,303            -33,533
2169,518            -12,314            -33,515
2172,851            -12,281            -32,941
2176,189            -12,330            -33,490
2179,532            -12,341            -33,459
2182,881            -12,351            -33,450
2186,234            -12,351            -33,442
2189,593            -12,362            -33,407
2192,956            -12,373            -33,395
2196,325            -12,406            -33,556
2199,699            -12,390            -33,363
2203,079            -12,401            -33,337
2206,463            -12,401            -33,337
2209,853            -12,411            -33,316
2213,248            -12,422            -33,295
2216,648            -12,433            -33,273
2220,053            -12,467            -34,969
2223,463            -12,450            -33,245
2226,879            -12,450            -33,226
2230,300            -12,460            -33,215
2233,726            -12,472            -33,194
2237,158            -12,482            -33,167
2240,595            -12,493            -33,151
2244,037            -12,493            -33,144
2247,484            -12,501            -33,129
2250,937            -12,511            -33,107
2254,395            -12,522            -33,087
2257,858            -12,533            -33,066
2261,327            -12,532            -33,057
2264,801            -12,543            -33,037
2268,280            -12,554            -33,015
2271,765            -12,539            -31,531
2275,255            -12,573            -32,978
2278,750            -12,584            -32,954
2282,251            -12,584            -32,953
2285,757            -12,596            -32,929
2289,268            -12,607            -32,907
2292,785            -12,618            -32,887
2296,307            -12,618            -32,887
2299,835            -12,627            -32,867
2303,368            -12,637            -32,845
2306,907            -12,648            -32,825
2310,450            -12,659            -32,803
2314,000            -12,659            -32,799
2317,555            -12,670            -32,780
2321,115            -12,681            -32,754
2324,681            -12,628            -30,794
2328,252            -12,702            -32,713
2331,829            -12,702            -32,707
2335,411            -12,713            -32,685
2338,999            -12,724            -32,660
2342,592            -12,734            -32,638
2346,191            -12,745            -32,617
2349,795            -12,745            -32,615
2353,405            -12,757            -32,275
2357,020            -12,767            -32,571
2360,641            -12,777            -32,556
2364,268            -12,777            -32,543
2367,900            -12,787            -32,393
2371,537            -12,799            -32,316
2375,181            -12,810            -32,507
2378,830            -12,842            -33,158
2382,484            -12,826            -31,154
2386,144            -12,831            -32,427
