13-5-2026	09:32
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
3000,000            -14,818            -14,641
3004,609            -14,831            -14,462
3009,224            -14,832            -14,443
3013,847            -14,843            -14,287
3018,477            -14,855            -14,126
3023,114            -14,867            -13,967
3027,759            -14,877            -14,333
3032,410            -14,886            -13,704
3037,069            -14,886            -13,695
3041,734            -14,897            -13,542
3046,407            -14,908            -13,386
3051,087            -14,920            -13,231
3055,774            -14,930            -13,075
3060,469            -14,930            -13,068
3065,170            -14,941            -12,911
3069,879            -14,952            -12,751
3074,595            -14,963            -12,693
3079,318            -14,971            -12,468
3084,049            -14,971            -12,462
3088,787            -14,981            -12,304
3093,532            -14,992            -12,147
3098,284            -15,002            -11,989
3103,044            -15,002            -11,983
3107,811            -15,012            -11,823
3112,585            -15,022            -11,663
3117,367            -15,032            -11,501
3122,156            -15,035             -9,803
3126,952            -15,042            -13,057
3131,756            -15,050            -11,184
3136,567            -15,059            -11,027
3141,386            -15,069            -10,864
3146,212            -15,069            -10,860
3151,045            -15,078            -10,490
3155,886            -15,087            -10,532
3160,734            -15,096            -10,403
3165,589            -15,105            -10,216
3170,453            -15,105            -10,204
3175,323            -15,115            -10,651
3180,201            -15,123             -9,862
3185,087            -15,132             -9,700
3189,980            -15,132             -9,694
3194,880            -15,140             -9,531
3199,788            -15,149             -9,121
3204,704            -15,157             -9,200
3209,627            -15,157             -9,194
3214,558            -15,166             -9,003
3219,496            -15,174             -8,858
3224,442            -15,182             -9,644
3229,396            -15,183             -8,657
3234,357            -15,191             -8,491
3239,325            -15,199             -8,323
3244,302            -15,206             -8,156
3249,286            -15,206             -8,151
3254,278            -15,214             -7,982
3259,277            -15,221             -7,814
3264,284            -15,229             -7,643
3269,299            -15,236             -7,474
3274,321            -15,236             -7,472
3279,351            -15,245             -7,247
3284,389            -15,252             -7,080
3289,435            -15,252             -7,075
3294,488            -15,259             -6,904
3299,549            -15,266             -6,727
3304,618            -15,272             -6,559
3309,695            -15,272             -6,555
3314,779            -15,279             -6,393
3319,871            -15,285             -6,218
3324,971            -15,292             -6,042
3330,079            -15,306             -6,582
3335,195            -15,301             -5,780
3340,319            -15,307             -5,614
3345,450            -15,307             -5,607
3350,590            -15,313             -5,433
3355,737            -15,318             -5,265
3360,892            -15,324             -5,089
3366,055            -15,324             -5,086
3371,226            -15,330             -4,912
3376,405            -15,335             -4,738
3381,592            -15,340             -4,564
3386,787            -15,347             -4,465
3391,990            -15,349             -4,279
3397,201            -15,349             -4,273
3402,420            -15,353             -4,101
3407,647            -15,358             -3,925
3412,882            -15,363             -3,757
3418,125            -15,367             -3,584
3423,376            -15,368             -3,576
3428,635            -15,372             -3,399
3433,902            -15,376             -3,220
3439,177            -15,381             -3,046
3444,461            -15,381             -3,043
3449,752            -15,384             -2,894
3455,052            -15,388             -2,726
3460,360            -15,392             -2,550
3465,676            -15,396             -2,376
3471,000            -15,399             -2,203
3476,332            -15,399             -2,195
3481,673            -15,403             -2,016
3487,021            -15,406             -1,841
3492,378            -15,410             -1,665
3497,743            -15,410             -1,664
3503,117            -15,413             -1,484
